name	number
three	6
six	37
six	14
five	97
nine	54
eight	90
nine	97
six	24
five	56
two	73
six	95
four	14
three	31
ten	14
ten	39
five	20
three	24
nine	66
ten	50
four	65
eight	3
two	64
four	69
two	77
nine	92
eight	1
ten	86
one	5
nine	38
seven	85
six	88
one	70
four	44
one	66
nine	28
four	71
five	27
four	1
ten	40
ten	59
eight	10
four	53
six	92
nine	33
six	53
one	88
ten	57
three	41
eight	92
three	31
seven	6
nine	97
six	28
ten	78
ten	47
four	47
one	82
ten	59
six	88
two	55
two	1
three	78
one	9
ten	86
two	12
six	37
two	93
ten	46
two	87
ten	17
seven	45
four	93
five	12
seven	82
ten	38
two	0
ten	14
ten	40
eight	85
eight	18
six	8
one	2
two	10
three	1
three	87
three	14
ten	11
three	0
three	48
two	55
four	80
six	82
eight	83
ten	42
ten	5
two	55
eight	66
ten	24
eight	53
ten	5
nine	32
one	86
three	48
one	46
four	24
ten	29
one	83
ten	87
two	83
five	92
one	88
six	95
one	65
ten	33
seven	82
six	26
three	32
three	83
three	40
seven	22
two	29
ten	62
seven	44
eight	15
ten	19
five	51
nine	59
three	53
five	83
five	8
three	97
one	53
four	83
ten	44
ten	62
three	57
four	71
five	84
seven	76
two	19
one	62
four	4
seven	32
two	13
ten	67
two	95
nine	46
nine	22
seven	71
five	96
seven	4
six	69
one	91
four	50
two	27
five	53
six	52
eight	58
three	84
six	95
five	1
four	3
five	16
seven	35
five	6
eight	33
four	5
six	93
five	30
six	70
five	28
five	41
eight	53
one	41
three	29
two	96
five	57
two	70
two	59
four	26
two	73
two	46
two	70
four	99
six	52
six	23
six	81
seven	72
eight	93
ten	76
one	19
two	81
two	80
four	36
seven	14
six	55
six	7
eight	50
nine	35
ten	15
five	22
four	40
four	73
nine	83
nine	50
four	25
nine	71
six	29
five	98
two	16
eight	27
five	58
ten	53
ten	80
five	53
ten	96
seven	32
nine	88
seven	94
six	51
four	57
five	99
nine	84
six	17
ten	38
nine	66
eight	92
three	76
two	98
seven	58
three	70
two	95
nine	96
seven	12
eight	74
two	33
eight	68
eight	17
five	52
eight	9
seven	43
ten	78
six	0
one	81
ten	9
eight	20
one	89
two	67
six	29
one	24
six	69
three	33
four	90
three	35
nine	52
three	10
seven	29
five	31
eight	97
three	72
three	63
ten	66
five	78
six	87
one	64
eight	53
four	28
one	17
nine	59
three	54
four	16
ten	45
five	29
ten	25
one	94
seven	44
one	63
seven	22
three	63
five	38
ten	94
five	2
six	97
six	25
eight	97
five	42
eight	61
six	17
two	61
two	60
nine	99
seven	78
two	13
one	50
three	6
seven	14
one	49
nine	19
two	33
three	74
nine	43
nine	43
six	46
ten	4
seven	48
two	1
two	2
two	92
two	59
five	29
four	79
nine	33
seven	54
three	16
eight	87
five	72
two	98
four	24
two	91
three	22
six	72
six	90
five	50
eight	84
four	68
six	98
two	8
ten	19
two	97
nine	50
six	77
six	41
one	39
six	99
seven	98
eight	95
five	49
ten	25
seven	99
three	78
one	55
two	0
nine	20
one	37
seven	59
ten	10
seven	23
five	15
five	52
two	36
ten	87
three	52
ten	63
nine	98
one	37
six	26
ten	91
ten	84
nine	20
six	65
ten	57
two	69
nine	21
six	19
four	57
five	25
ten	2
one	93
nine	50
nine	84
eight	57
nine	99
seven	54
four	45
nine	56
three	53
three	67
ten	65
six	4
two	4
ten	12
two	71
seven	98
six	38
six	86
four	93
six	78
nine	41
three	15
six	17
seven	24
three	41
ten	96
two	53
six	63
six	98
nine	13
two	21
one	87
four	7
two	15
two	97
nine	60
five	37
eight	67
eight	68
four	62
two	49
two	36
eight	11
six	38
three	11
eight	6
ten	9
one	77
ten	48
six	31
four	68
nine	61
two	54
six	67
one	78
five	23
seven	68
ten	99
five	52
five	19
eight	10
two	92
ten	18
four	35
five	33
one	91
two	75
nine	72
four	11
eight	46
four	18
four	32
seven	74
one	53
seven	48
four	8
four	51
seven	34
three	57
five	61
five	36
five	36
one	23
five	71
five	17
eight	73
two	46
four	84
ten	44
four	96
six	79
two	29
four	17
eight	72
five	64
five	76
eight	36
three	67
four	46
nine	16
eight	83
five	15
ten	53
ten	23
two	13
four	27
five	28
one	90
one	29
eight	65
four	12
eight	49
four	20
nine	82
one	80
two	84
five	26
five	30
five	88
six	24
one	81
seven	52
three	45
six	98
seven	90
six	88
five	4
six	72
one	14
two	45
two	27
four	70
four	30
nine	17
four	69
five	84
five	87
two	47
four	17
two	25
six	28
six	12
three	15
one	77
seven	53
two	69
four	81
three	74
four	64
ten	92
four	42
eight	12
ten	66
six	5
one	11
three	31
nine	11
two	19
one	47
two	99
six	30
three	5
one	86
ten	73
ten	9
nine	62
four	52
one	81
three	4
seven	52
ten	70
nine	31
two	35
ten	69
one	52
two	27
four	31
five	6
two	99
ten	8
three	24
four	96
one	70
eight	67
eight	2
five	2
eight	94
six	19
four	13
six	72
one	43
two	79
five	15
six	58
one	16
one	91
one	71
seven	59
ten	35
four	74
eight	17
ten	73
nine	20
seven	73
ten	12
ten	50
one	30
nine	86
seven	41
five	19
two	90
ten	71
three	85
two	80
nine	4
two	28
four	62
six	48
seven	34
three	99
eight	7
ten	5
three	19
five	67
six	69
five	23
ten	93
eight	19
seven	27
four	5
eight	74
two	51
four	61
seven	32
four	98
six	64
three	21
four	40
two	61
ten	28
seven	82
eight	82
eight	33
eight	94
eight	43
eight	70
six	41
six	54
eight	66
ten	81
eight	33
ten	96
nine	64
eight	17
seven	36
nine	55
one	66
ten	50
one	94
two	77
seven	45
eight	10
six	20
eight	20
three	38
ten	95
seven	36
ten	41
one	74
six	83
seven	24
three	83
nine	77
ten	24
five	50
nine	79
seven	35
two	97
four	97
four	61
ten	4
eight	45
seven	92
one	61
four	23
two	28
four	13
six	26
four	50
eight	33
seven	22
eight	12
three	74
two	58
seven	90
eight	62
five	71
eight	58
ten	20
one	48
ten	3
ten	47
two	32
six	96
five	61
six	33
nine	0
nine	16
three	27
two	65
five	9
two	55
eight	2
six	20
two	27
three	99
six	87
four	8
five	61
six	80
six	63
seven	44
eight	30
five	26
three	83
eight	14
one	96
six	98
four	10
five	45
one	84
nine	55
three	50
seven	51
three	37
nine	43
five	33
six	88
six	73
eight	71
five	14
ten	3
four	79
eight	93
two	74
five	47
one	78
four	5
seven	93
five	25
ten	7
ten	58
nine	11
nine	20
four	76
six	2
six	93
two	21
two	76
eight	69
ten	84
nine	7
two	34
five	8
five	2
ten	19
seven	76
six	36
one	77
four	75
four	96
one	88
six	29
one	57
one	95
one	39
six	16
three	95
six	51
seven	0
four	69
one	17
four	70
five	93
three	8
one	29
six	11
seven	46
two	52
ten	95
four	51
ten	5
ten	62
six	25
one	2
seven	26
ten	46
five	63
eight	14
eight	67
three	36
one	78
five	35
four	62
eight	10
six	65
seven	22
ten	17
three	97
four	61
seven	4
nine	82
eight	96
eight	74
two	59
one	39
five	3
nine	49
three	79
five	71
ten	25
three	35
eight	19
one	26
one	69
six	97
three	40
nine	91
eight	53
eight	38
five	8
three	11
eight	86
two	33
eight	80
two	71
two	32
one	63
three	44
five	76
six	87
ten	41
six	40
two	13
six	27
ten	11
ten	34
two	18
six	7
ten	44
one	7
five	13
ten	67
six	41
six	42
ten	68
two	68
five	20
one	78
five	43
eight	27
seven	10
one	39
two	68
five	89
ten	82
eight	12
six	13
two	73
seven	38
eight	52
six	79
four	68
one	95
ten	44
nine	24
six	52
six	19
eight	57
seven	59
two	23
nine	68
nine	92
one	6
four	66
five	2
two	4
six	20
three	20
eight	62
four	37
three	88
six	29
ten	82
five	81
ten	37
three	75
five	74
three	4
ten	89
eight	2
two	12
nine	70
seven	32
seven	43
one	53
one	85
six	17
four	36
eight	95
seven	26
ten	18
six	12
two	41
ten	18
three	71
nine	66
nine	84
five	48
nine	8
three	55
eight	32
seven	85
eight	35
six	94
two	67
ten	10
seven	0
five	97
five	36
eight	99
nine	89
ten	67
five	34
eight	37
one	54
one	50
ten	7
two	37
five	77
three	77
five	11
nine	68
two	12
ten	13
six	38
ten	85
one	83
three	92
six	86
two	38
three	72
four	94
six	92
eight	1
nine	53
one	38
three	93
seven	74
seven	32
three	26
one	72
four	76
six	41
four	87
six	55
three	71
two	25
eight	88
nine	41
ten	60
six	45
seven	89
nine	57
three	21
two	9
six	66
six	80
four	58
eight	33
three	22
six	63
one	9
six	75
two	37
eight	23
one	57
ten	38
two	40
five	18
four	92
three	28
four	83
six	88
one	61
one	13
seven	20
nine	85
ten	49
eight	71
six	93
ten	73
ten	77
seven	6
two	65
two	85
ten	14
seven	26
three	86
four	22
seven	95
six	96
one	36
eight	84
six	67
four	3
two	55
ten	56
ten	82
eight	90
three	50
five	86
three	14
ten	85
two	25
four	40
nine	48
three	7
five	55
seven	46
ten	31
eight	97
five	53
four	86
one	11
one	90
two	4
eight	21
five	42
three	61
nine	93
seven	40
eight	71
nine	20
nine	41
four	78
seven	27
eight	95
seven	38
three	17
seven	88
two	99
six	49
six	18
seven	87
seven	39
ten	44
ten	15
ten	6
three	8
four	25
four	32
ten	94
three	34
eight	92
five	93
ten	67
six	37
one	95
two	46
seven	34
one	29
two	63
two	8
six	92
eight	43
seven	94
eight	65
eight	1
ten	35
two	9
ten	89
eight	26
one	15
eight	25
four	71
five	73
seven	5
seven	6
nine	63
three	36
seven	58
four	32
two	99
eight	79
three	14
five	43
seven	53
seven	43
nine	76
one	56
nine	20
four	84
seven	90
one	45
eight	73
one	16
eight	52
five	96
six	19
six	17
eight	46
three	89
three	38
seven	54
five	5
nine	32
four	54
six	37
ten	44
six	56
six	64
eight	57
eight	1
five	41
seven	64
seven	39
one	60
seven	44
two	49
two	83
eight	15
five	63
four	71
three	5
ten	89
eight	52
four	19
three	66
one	35
five	53
five	54
nine	11
one	63
three	10
eight	98
nine	10
seven	23
seven	21
three	51
nine	45
seven	40
ten	84
three	90
eight	22
seven	95
seven	42
nine	18
six	87
five	34
one	30
nine	15
seven	14
nine	70
four	13
nine	60
seven	64
four	68
nine	44
ten	83
three	58
ten	16
three	11
five	31
ten	35
four	83
one	13
six	73
six	20
four	53
nine	33
six	99
ten	8
three	1
seven	67
three	5
three	29
three	62
five	78
ten	13
two	66
six	92
one	95
seven	26
eight	40
one	52
three	78
five	88
two	1
two	10
two	83
two	26
nine	63
one	41
seven	93
four	7
six	16
five	93
six	92
ten	25
ten	67
seven	3
six	7
two	68
eight	97
two	89
one	8
ten	61
six	73
ten	40
six	30
four	98
seven	68
five	67
three	31
six	99
nine	57
one	71
six	45
three	42
six	23
nine	7
two	98
eight	66
eight	17
five	76
two	41
five	31
one	8
one	21
seven	61
nine	39
seven	87
ten	16
one	78
ten	76
two	24
ten	36
seven	30
eight	78
two	83
two	32
nine	32
ten	30
six	46
ten	9
one	38
one	88
four	60
one	67
five	73
three	66
one	57
three	27
three	93
five	75
nine	40
nine	33
two	61
four	53
eight	56
two	54
five	91
ten	89
four	37
ten	77
ten	23
nine	86
seven	30
eight	22
two	0
six	9
seven	80
five	56
four	82
five	81
eight	80
four	80
six	93
two	78
four	59
seven	44
ten	73
six	23
seven	5
two	85
two	51
two	48
ten	3
nine	80
eight	54
five	76
nine	88
four	24
nine	94
two	59
eight	46
nine	29
three	47
seven	45
one	73
nine	0
two	58
eight	65
seven	36
nine	71
four	85
three	3
five	23
eight	4
seven	74
six	85
seven	99
seven	29
nine	82
five	6
eight	99
nine	49
ten	88
ten	7
eight	28
four	31
six	23
one	94
six	90
seven	21
six	11
five	10
two	17
two	43
three	84
six	91
one	99
nine	2
two	80
ten	91
ten	9
two	63
one	5
four	27
one	40
five	43
three	53
two	9
one	70
seven	55
two	10
four	2
ten	38
eight	59
seven	31
five	68
three	49
three	95
four	16
one	14
three	42
eight	47
six	29
seven	94
nine	40
ten	49
one	85
five	59
three	83
ten	37
four	94
three	12
ten	16
four	12
one	8
two	43
six	67
ten	62
two	96
seven	13
six	69
four	99
nine	42
six	41
four	40
nine	10
seven	94
six	95
four	72
one	61
seven	98
seven	96
eight	27
one	40
six	23
eight	13
six	74
nine	58
two	65
three	80
four	40
nine	71
three	57
three	91
three	9
ten	75
three	3
one	33
seven	9
seven	89
ten	11
six	14
eight	11
one	98
three	13
three	80
one	93
seven	47
five	13
four	57
ten	36
seven	86
six	23
seven	97
four	75
eight	27
nine	41
six	23
seven	84
one	46
six	89
ten	79
nine	29
three	16
three	55
two	50
ten	15
six	35
two	72
seven	52
seven	19
four	18
six	78
three	54
seven	86
four	79
nine	1
five	51
three	28
three	53
six	62
nine	62
seven	66
eight	17
one	58
one	66
three	97
two	67
seven	28
eight	27
six	73
one	92
nine	66
ten	6
ten	25
two	24
one	78
three	51
one	41
ten	81
eight	91
nine	64
eight	9
four	12
seven	25
three	91
ten	68
eight	21
two	23
two	19
three	23
ten	27
six	36
seven	64
one	60
one	38
seven	46
two	68
one	92
five	63
seven	40
three	66
nine	9
eight	17
ten	68
nine	71
eight	10
ten	86
two	34
nine	41
four	64
ten	76
one	88
one	34
five	74
ten	60
four	3
nine	79
six	23
nine	48
six	17
eight	76
six	70
nine	37
one	60
four	99
eight	75
five	21
six	73
eight	17
ten	15
six	3
five	99
eight	94
five	87
three	75
two	71
four	24
nine	51
two	38
eight	91
three	5
ten	60
seven	68
eight	76
six	16
nine	12
nine	47
ten	45
eight	64
four	41
three	5
three	83
five	98
three	74
seven	43
seven	16
eight	67
nine	41
one	59
five	82
five	83
four	51
nine	22
four	68
nine	94
nine	92
six	48
four	83
five	44
two	33
one	93
five	57
three	78
seven	31
one	93
three	43
two	8
two	77
two	80
nine	48
eight	96
four	96
five	66
three	31
ten	66
eight	78
one	15
one	47
seven	28
seven	51
four	80
eight	42
four	66
two	26
eight	17
ten	3
one	82
six	40
eight	23
seven	77
seven	82
five	14
eight	67
three	82
four	96
four	20
three	95
seven	86
three	4
seven	51
six	31
one	55
six	2
five	26
one	71
ten	88
four	57
two	31
one	98
seven	16
two	57
four	98
five	93
three	87
one	56
nine	42
one	29
six	53
three	66
seven	85
five	65
ten	83
two	7
seven	50
one	51
four	4
eight	24
four	87
eight	92
one	0
one	40
eight	50
four	86
ten	2
nine	59
eight	87
four	77
three	83
seven	78
three	77
nine	66
two	74
five	6
ten	48
one	84
two	40
five	94
three	2
two	77
ten	10
one	49
four	90
eight	17
one	11
six	13
one	19
eight	46
four	5
nine	43
four	26
nine	6
one	54
three	88
three	42
ten	19
eight	50
seven	31
ten	9
two	66
seven	75
nine	71
nine	62
six	0
nine	25
ten	44
ten	58
three	83
eight	95
six	97
nine	97
eight	91
two	9
eight	22
nine	29
seven	70
ten	53
five	62
six	27
eight	23
eight	10
seven	59
eight	71
seven	72
five	4
four	22
three	13
one	73
four	7
nine	60
ten	23
four	67
two	97
four	43
four	38
two	8
five	45
eight	18
nine	13
one	22
seven	34
five	28
four	45
eight	16
eight	14
three	70
seven	6
one	22
six	27
ten	21
eight	37
nine	30
ten	89
five	51
five	92
one	65
four	98
two	68
nine	67
eight	10
three	62
eight	94
six	31
ten	35
five	10
six	59
three	95
nine	91
ten	2
five	28
two	65
two	25
five	75
eight	38
nine	44
eight	85
seven	39
six	54
seven	28
six	53
seven	21
three	79
three	91
eight	71
seven	68
one	35
eight	36
six	2
one	15
two	91
six	48
ten	49
ten	75
one	12
six	9
nine	29
two	51
seven	68
seven	77
two	65
two	95
three	4
ten	92
seven	55
eight	51
two	97
eight	40
three	35
six	66
five	65
eight	68
one	59
six	51
two	78
nine	43
seven	12
ten	28
one	21
five	49
ten	23
seven	26
one	84
seven	19
six	46
six	22
five	78
four	75
ten	50
five	37
seven	31
one	84
five	64
five	83
two	95
nine	70
three	48
nine	52
three	28
seven	63
ten	92
four	82
nine	87
ten	98
ten	33
three	97
six	47
six	85
ten	79
nine	18
seven	10
eight	35
four	52
five	49
ten	65
one	13
eight	49
four	91
nine	4
nine	76
five	13
four	23
four	88
one	90
five	89
four	15
eight	45
two	31
nine	20
ten	35
three	17
nine	59
seven	90
seven	6
four	51
six	98
one	90
nine	63
ten	72
one	14
two	50
ten	40
nine	45
three	29
ten	27
two	86
one	25
ten	26
seven	65
seven	85
one	55
nine	62
one	80
ten	47
one	18
three	36
five	40
ten	86
two	40
two	27
one	42
eight	52
one	27
four	59
five	12
two	5
three	8
three	80
two	88
eight	72
four	96
three	87
two	6
five	34
ten	81
five	62
three	8
two	45
ten	44
two	70
six	58
one	5
eight	86
three	85
six	2
seven	83
three	96
four	59
seven	63
four	27
six	84
ten	2
nine	88
nine	16
seven	97
two	98
three	8
two	73
four	93
eight	38
one	89
four	5
ten	7
three	91
five	19
eight	85
nine	97
eight	56
one	22
eight	58
five	53
seven	87
three	84
eight	25
three	66
three	59
two	45
three	60
eight	28
eight	59
five	39
four	75
three	3
nine	1
one	90
three	39
eight	49
four	76
four	64
seven	41
one	24
two	55
seven	69
ten	7
three	24
eight	25
six	96
seven	7
six	20
one	89
nine	29
nine	13
two	42
two	84
ten	0
four	94
five	45
five	75
seven	17
ten	39
five	96
eight	9
eight	38
seven	54
four	87
nine	47
one	79
two	30
four	24
four	31
nine	43
eight	12
three	31
ten	89
one	64
five	75
five	35
nine	91
nine	71
six	44
three	43
four	11
ten	37
eight	96
two	8
nine	64
nine	7
five	0
four	44
nine	27
three	44
two	69
three	49
two	10
one	32
five	29
nine	18
ten	51
six	8
five	35
one	70
three	14
five	75
ten	48
three	40
nine	97
five	50
two	89
six	39
seven	45
five	27
five	33
eight	90
eight	75
one	78
six	92
three	36
nine	21
ten	19
two	47
ten	65
eight	22
six	45
eight	42
five	38
two	29
seven	95
five	19
one	7
nine	81
three	25
five	7
four	58
five	35
four	67
nine	76
nine	38
five	53
seven	93
four	1
two	45
three	98
nine	70
seven	63
six	28
seven	97
four	67
three	33
five	29
four	55
three	24
four	43
three	13
eight	67
two	19
one	16
nine	80
five	97
eight	46
one	77
three	46
five	12
ten	29
ten	5
nine	2
nine	30
eight	90
two	92
three	43
three	49
eight	37
five	53
nine	79
three	80
one	78
four	8
seven	4
one	23
eight	45
nine	31
seven	40
four	32
five	60
eight	69
five	13
nine	11
seven	56
five	13
eight	61
two	58
nine	40
eight	87
nine	35
one	44
two	20
eight	62
one	44
two	31
nine	70
six	37
nine	90
four	22
five	93
two	58
nine	24
eight	69
five	86
three	71
six	23
seven	60
two	12
eight	29
five	88
nine	80
two	80
five	75
seven	43
seven	82
one	9
two	10
five	89
three	40
one	67
nine	2
three	15
three	10
five	52
five	32
eight	9
nine	10
four	40
six	58
ten	89
six	56
two	96
four	93
ten	51
seven	94
seven	60
six	49
two	32
eight	31
nine	50
ten	57
ten	93
nine	64
nine	17
two	79
eight	62
three	54
nine	10
five	54
eight	80
six	33
one	55
five	83
nine	63
four	6
two	33
five	26
seven	38
nine	27
five	89
five	84
nine	71
seven	11
nine	63
seven	57
nine	3
one	20
three	42
four	71
one	14
eight	26
five	0
five	27
six	23
nine	5
two	66
eight	83
three	2
five	81
nine	32
ten	56
six	7
eight	75
eight	95
seven	25
ten	31
eight	65
one	80
one	88
eight	89
two	35
ten	26
five	11
three	56
six	2
seven	76
seven	89
two	8
seven	72
seven	86
five	52
six	65
ten	33
seven	23
one	25
six	27
seven	27
seven	33
one	38
two	33
three	51
three	93
four	33
eight	70
one	62
three	20
eight	13
two	23
nine	94
four	67
four	83
seven	46
seven	93
two	19
five	20
seven	53
four	3
eight	22
four	47
six	77
eight	40
three	73
seven	96
two	47
nine	19
ten	78
six	90
five	89
one	93
five	33
six	31
two	26
eight	56
four	49
ten	34
seven	67
four	34
nine	74
six	45
nine	23
seven	81
six	18
two	13
eight	74
six	23
nine	12
one	8
two	34
two	86
four	13
six	67
three	92
nine	55
six	96
six	84
one	2
two	17
ten	54
six	25
ten	39
nine	0
seven	56
ten	5
ten	18
ten	46
two	20
ten	73
two	72
one	16
four	7
six	1
one	4
seven	99
eight	31
eight	26
eight	52
two	5
eight	74
eight	93
five	69
nine	58
six	36
ten	22
two	69
three	36
six	33
five	68
five	14
two	75
eight	99
three	91
four	5
ten	88
nine	5
six	83
seven	50
nine	15
five	83
six	89
six	16
seven	87
seven	14
seven	82
one	81
nine	87
three	52
five	76
three	58
three	71
two	65
seven	18
eight	31
six	55
four	31
two	43
six	0
eight	74
seven	89
four	48
two	67
one	82
two	24
ten	52
four	5
six	7
two	84
six	74
seven	36
seven	78
two	4
four	11
ten	52
nine	88
nine	93
nine	45
four	31
eight	51
three	97
one	25
three	74
nine	42
nine	8
two	12
nine	79
four	96
two	1
three	24
six	98
four	79
two	53
five	39
six	13
ten	86
two	84
eight	46
nine	95
eight	39
six	66
three	20
six	51
six	52
seven	52
ten	80
seven	63
one	52
two	95
five	75
two	29
six	25
ten	1
eight	6
eight	97
three	14
five	79
one	56
three	86
two	7
five	81
two	93
two	50
five	83
nine	52
nine	37
one	55
three	86
three	92
seven	47
two	16
seven	19
six	87
five	21
two	86
one	14
nine	42
nine	58
seven	70
two	53
five	52
one	62
eight	34
four	12
ten	67
nine	46
ten	67
five	46
nine	49
four	40
eight	7
one	71
six	71
one	80
nine	52
four	40
six	96
ten	73
six	37
three	75
seven	7
six	80
three	44
six	97
five	99
one	10
four	92
five	54
nine	5
five	50
nine	51
eight	75
four	5
nine	69
two	2
five	57
three	56
nine	34
five	45
nine	91
ten	21
nine	36
nine	60
one	70
seven	67
ten	47
ten	98
nine	39
seven	38
nine	15
eight	92
two	43
seven	97
nine	29
ten	73
seven	77
two	85
eight	8
seven	98
eight	15
ten	27
nine	83
six	80
eight	1
six	89
ten	3
seven	82
ten	6
two	74
six	23
seven	4
four	67
four	5
nine	2
six	5
seven	10
ten	98
seven	22
one	44
six	81
seven	43
four	20
nine	92
three	93
four	73
nine	79
seven	21
five	43
three	47
three	24
two	5
eight	81
one	73
ten	79
seven	16
seven	27
five	19
ten	20
ten	95
five	51
nine	15
nine	55
eight	14
six	84
seven	45
one	76
four	54
six	19
one	25
five	5
four	4
ten	10
four	25
ten	49
eight	78
nine	67
four	44
ten	95
one	73
eight	55
five	86
four	34
five	44
five	15
three	70
nine	21
six	35
six	88
seven	24
six	40
four	43
ten	98
seven	9
ten	52
one	75
eight	87
five	98
ten	2
seven	17
two	72
three	2
four	40
seven	46
three	75
one	6
two	75
two	66
ten	49
five	52
four	10
one	26
five	31
five	37
nine	81
six	46
three	60
eight	67
three	5
five	60
four	65
nine	33
nine	59
four	84
one	6
ten	75
eight	33
nine	47
four	51
six	44
four	11
ten	30
four	14
eight	2
two	58
eight	43
eight	89
eight	32
five	28
two	17
eight	12
seven	18
ten	33
ten	37
eight	57
ten	53
four	21
six	0
four	97
ten	40
two	21
five	91
seven	29
seven	30
ten	5
four	64
ten	80
seven	37
four	5
eight	99
seven	92
ten	23
ten	30
nine	40
nine	86
three	83
five	40
one	23
one	66
three	11
one	1
ten	0
seven	28
three	90
ten	92
nine	34
seven	56
six	80
nine	87
four	44
nine	70
eight	34
ten	20
eight	42
nine	86
eight	4
eight	0
five	62
ten	96
eight	72
six	73
four	44
five	81
six	11
three	91
two	1
seven	59
two	38
six	82
eight	57
four	38
ten	37
one	48
ten	49
ten	98
six	77
two	35
six	3
five	37
ten	75
eight	77
six	23
five	59
seven	18
one	12
three	87
six	30
eight	56
nine	75
one	96
six	18
three	77
eight	25
two	74
one	0
nine	2
three	73
six	20
six	87
five	98
six	73
seven	12
one	50
one	95
one	49
five	92
five	44
nine	59
three	86
ten	11
three	58
five	87
four	58
one	24
four	34
seven	66
two	69
five	62
three	49
nine	39
four	79
seven	58
seven	24
one	32
seven	59
seven	92
five	94
five	14
six	75
ten	76
six	87
three	18
six	63
three	73
two	97
three	57
ten	36
two	37
two	49
five	35
one	26
five	98
six	80
six	49
eight	69
seven	96
six	20
eight	70
six	46
five	58
six	23
ten	67
three	56
six	24
eight	62
five	45
one	9
one	9
nine	1
four	20
seven	89
eight	98
two	34
ten	99
one	57
ten	59
three	1
four	53
one	31
three	51
eight	52
one	76
nine	3
nine	42
six	37
three	88
nine	9
five	33
four	3
ten	29
six	14
five	5
nine	76
four	0
five	47
two	47
nine	29
eight	1
ten	75
two	92
five	50
nine	62
three	44
two	60
four	90
five	5
seven	88
seven	17
seven	25
two	98
seven	80
five	34
one	69
four	31
three	64
five	51
four	71
five	93
three	1
seven	27
four	17
three	50
nine	19
six	14
three	70
nine	80
one	15
ten	9
five	26
six	5
six	3
ten	91
five	47
five	35
four	84
seven	26
one	28
five	51
three	37
five	2
two	6
eight	0
three	38
four	42
five	5
one	76
ten	21
four	91
six	77
seven	28
ten	49
nine	23
eight	5
ten	91
four	19
nine	97
nine	1
ten	54
seven	95
five	6
four	37
seven	24
eight	79
one	67
nine	95
eight	61
eight	10
two	38
six	38
ten	82
one	90
seven	54
eight	17
four	67
three	43
five	74
one	42
seven	73
four	48
five	52
three	84
eight	62
four	76
eight	48
eight	43
six	13
two	79
five	64
three	94
ten	66
three	81
four	25
six	95
nine	33
eight	45
five	13
seven	94
one	27
seven	45
two	86
one	92
five	27
one	55
eight	78
two	28
ten	16
three	42
five	32
ten	46
ten	87
two	20
seven	66
seven	1
two	7
one	28
four	94
six	88
nine	8
ten	43
seven	5
four	74
seven	58
one	34
five	76
three	58
seven	10
eight	40
two	22
six	49
seven	23
nine	79
one	78
five	22
six	40
three	86
nine	4
four	35
five	96
five	98
three	95
one	29
four	76
six	30
five	53
one	40
eight	83
seven	33
five	36
five	61
three	5
two	85
three	46
one	95
nine	72
three	2
nine	70
nine	39
six	93
eight	12
nine	83
four	93
two	3
eight	65
six	5
ten	70
three	84
one	89
nine	35
eight	17
nine	95
seven	52
five	80
six	80
four	2
seven	81
four	84
six	72
one	27
four	70
eight	70
ten	80
seven	60
eight	69
six	73
three	45
eight	62
ten	6
four	13
three	75
nine	93
four	94
four	98
four	32
six	18
ten	97
one	94
three	62
eight	23
seven	12
two	34
nine	32
six	4
one	15
one	68
two	97
seven	51
three	60
seven	67
nine	91
nine	74
three	69
two	36
one	15
four	7
four	23
three	54
eight	20
two	10
ten	21
six	15
eight	12
nine	17
one	58
nine	1
seven	8
five	28
three	69
three	35
six	64
six	52
one	68
four	95
four	56
five	66
nine	3
six	54
eight	89
eight	57
six	17
eight	77
ten	38
two	21
one	50
ten	95
one	76
four	68
six	87
five	20
one	81
seven	74
four	99
one	57
nine	23
five	40
ten	12
eight	26
ten	63
one	82
eight	96
six	47
six	19
four	41
four	58
three	55
nine	18
four	98
three	2
ten	33
three	50
seven	43
ten	31
five	61
one	82
four	66
two	79
eight	72
ten	76
six	96
six	16
four	98
four	31
nine	59
five	93
eight	16
ten	87
seven	56
three	19
five	19
seven	71
ten	71
seven	76
eight	55
eight	81
three	89
four	42
six	49
five	58
four	10
three	55
nine	89
four	95
six	82
one	45
ten	21
nine	44
seven	1
nine	89
ten	54
five	13
one	95
six	55
six	68
seven	73
six	72
two	52
eight	14
nine	40
eight	55
one	49
six	69
seven	94
three	13
four	40
ten	56
ten	16
two	62
one	56
four	71
four	72
one	79
four	95
six	74
seven	67
seven	65
eight	23
ten	2
four	20
ten	90
one	90
two	81
three	21
eight	69
ten	12
two	95
ten	65
six	60
nine	9
three	1
seven	0
six	89
seven	0
seven	37
four	64
five	83
seven	27
seven	55
ten	33
four	35
eight	22
four	89
six	36
six	18
seven	13
nine	69
three	84
nine	44
three	1
eight	97
four	86
one	59
five	67
three	92
eight	59
one	31
eight	25
four	25
eight	34
six	97
five	49
six	6
nine	83
ten	31
six	36
six	0
one	47
nine	8
six	95
five	89
four	51
ten	7
one	72
four	40
eight	83
five	79
ten	76
seven	44
two	5
seven	99
three	49
five	48
five	46
six	75
one	28
five	48
four	15
one	57
six	46
ten	37
seven	71
ten	30
ten	79
three	67
two	43
nine	7
seven	95
seven	90
seven	65
nine	78
three	44
five	87
six	88
eight	22
ten	23
three	54
one	89
eight	3
two	19
three	2
three	7
three	8
eight	77
